"id","headline","is_approximate_address","address","city","state","latitude","longitude","formatted_address","inc_date","inc_time","inc_type","is_homicide","victim_count","killed_count","is_victims_unknown","summary","suspect_count","is_suspects_unknown","inc_slug"
"235","Man shot on North Market","1","2100 N. Market St.","Wilmington","DE","39.7522345","-75.5408675","2100 North Market Street, Wilmington, DE 19802","2013-04-27","19:00:00","SH","0","1","0","0","Police were called to Wilmington Hospital after a 19-year-old man arrived seeking treatment for a gunshot wound to his left thigh.

The man, police said, was walking the 2100 block of North Market Street when two unknown men began arguing. The victim said he heard gunfire and realized he was struck in the leg.","0","1","man-shot-north-market"
"236","Man shot multiple tiems","1","2600 N. Claymont St.","Wilmington","DE","39.7489821","-75.5271911","2600 North Claymont Street, Wilmington, DE 19802","2013-04-28","15:20:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 31-year-old man in the street with gunshot wounds to both legs and his abdomen.

Police said the victim was walking in the area when he was struck by gunfire from unknown shooters.","0","1","man-shot-multiple-tiems"
"237","Man shot, killed on Claymont","1","2600 N. Claymont St.","Wilmington","DE","39.7489821","-75.5271911","2600 North Claymont Street, Wilmington, DE 19802","2013-05-12","22:05:00","SH","1","1","1","0","A 27-year-old Wilmington man was shot and killed on North Claymont Street.

Officers responding to a 911 call reporting shots fired found Marvin Moore with multiple gunshot wounds to his upper torso. he was taken to Christiana Hospital where he died.

A little more than two weeks later, members of the U.S. Marshals Service service arrested Darcell Coleman in East Orange, New Jersey in connection with the homicide. Once extradited to Delaware, Coleman will face charges of first-degree murder and possession of a firearm during the commission of a felony.","1","0","man-shot-killed-claymont"
"238","Man shot in torso, arm","1","2600 N. Madison Street","Wilmington","DE","39.758969","-75.538845","2600 North Madison Street, Wilmington, DE 19802","2013-05-21","18:30:00","SH","0","1","0","0","Police responding to a 911 call found a 21-year-old Wilmington with gunshot wounds to his torso and arm. He was taken to Christiana Hospital where he was listed in critical but stable condition.

The victim told police that the shooter approached him wearing all black clothing and began firing.","0","1","man-shot-torso-arm"
"239","18-year-old shot in leg","1","1000 Elm Street","Wilmington","DE","39.740314","-75.563918","1000 Elm Street, Wilmington, DE 19805","2013-05-26","02:14:00","SH","0","1","0","0","Police were called to St. Francis Hospital regarding a Wilmington man with a gunshot wound to his leg.","0","1","18-year-old-shot-leg"
"240","24-year-old shot in hip","1","1300 East 27th Street","Wilmington","DE","39.7495594","-75.5265944","1300 East 27th Street, Wilmington, DE 19802","2013-06-02","02:55:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 24-year-old Wilmington man with a gunshot wound to his hip. The victim was taken by ambulance to Christiana Hospital where he was listed in serious but stable condition.

There are no suspects or motive known at this time, police wrote in a June 3 news release.","0","1","24-year-old-shot-hip"
"241","Two store clerks shot, one killed","0","2715 Northeast Boulevard","Wilmington","DE","39.7501411","-75.5272572","2715 Northeast Boulevard, Wilmington, DE 19802","2013-06-07","18:20:00","SH","1","2","1","0","A Printz Convenience Store clerk was killed and another was injured during a shooting at the store.

Police responded to the store after receiving a 911 call reporting the shooting. There, they found Toney Berry, 29, and a 31-year-old man with multiple gunshot wounds. Both were taken to Christiana Hospital. Berry was pronounced dead at the hospital, and the other clerk was listed in critical condition.

Police said three men - one in his 20s, 6'2"" and between 140 and 160 lbs; the second in his late teens, 5'7"" and stocky; and the third short and stocky - entered the store, shot both clerks and fled. They were last seen running west on West 26th Street.","0","1","two-store-clerks-shot-one-killed"
"242","Man shot on North West Street","1","600 N. West St.","Wilmington","DE","39.743168","-75.553035","600 North West Street, Wilmington, DE 19801","2013-06-12","01:24:00","SH","0","1","0","0","Officers responding to a 911 call reporting a shooting found a 24-year-old man in the street with a gunshot wound to his leg.

The victim was walking in the area, police said, when a man - described as 25 to 26 years old, between 5'9"" and 5'10"", slim and wearing a grey T-shirt and dark jeans - approached and began firing at him.

The victim was taken to Christiana Hospital where he was listed in stable condition.","0","1","man-shot-north-west-street"
"243","19-year-old shot in back","1","23rd and Carter Streets","Wilmington","DE","39.7519115","-75.5365902","East 23rd Street & Carter Street, Wilmington, DE 19802","2013-06-15","00:45:00","SH","0","1","0","0","Responding to a 911 call reporting a shooting, police officers found a 19-year-old man with a gunshot wound to his back.

The man was walking in the area of 23rd and Carter streets when he heard several gunshots, police said. The victim then ran to the 600 block of East 22nd Street when he realized he had been shot. The victim was uncooperative, police said, and did not provide any suspect information. ","0","1","19-year-old-shot-back"
"244","Drunk man shot in leg","1","28th and North Washington Street","Wilmington","DE","39.7581088","-75.5361598","North Washington Street & West 28th Street, Wilmington, DE 19802","2013-06-17","00:44:00","SH","0","1","0","0","Police were called to Wilmington Hospital's emergency room after a 21-year-old man with a gunshot wound to his upper thigh was taken there by his cousins.

The man, who was intoxicated, heard gunshots in the area of 28th and North Washington Street. After realizing he had been shot, the man changed his pants and was taken to the hospital. He was uncooperative with police and did not provide any suspect information.","0","1","drunk-man-shot-leg"
"245","42-year-old shot in hip","1","700 E. 22nd St.","Wilmington","DE","39.7495563","-75.535081","700 East 22nd Street, Wilmington, DE 19802","2013-06-21","19:18:00","SH","0","1","0","0","Officers responding to a 911 call reporting a shooting found a 42-year-old man in the street suffering a gunshot wound to his right hip.

Police said the man was standing in the 700 block of East 22nd Street when he was shot by an unknown person. The victim was taken to Christiana Hospital where he was listed in stable condition.","0","1","42-year-old-shot-hip"
"246","Two men shot at Taylor and Bennett streets","0","Taylor Street and North Bennett Street","Wilmington","DE","39.7407617","-75.5408348","Taylor Street & Bennett Street, Wilmington, DE 19801","2013-06-22","04:00:00","SH","0","2","0","0","Police were called to Wilmington Hospital after two men suffering gunshot wounds arrived at the hospital seeking treatment.

One, a 35-year-old Wilmington man, had a gunshot wound to his right shin; and the other, a 31-year-old Wilmington man, had a gunshot wound to his buttocks/groin area.

Police said the shooting seems to have occurred near Taylor and North Bennett streets. Both men were transported to Christiana Hospital where they were each listed in stable condition.","0","1","two-men-shot-taylor-and-bennett-streets"
"247","19-year-old shot during attempted robbery","1","200 Delamore Place","Wilmington","DE","39.7453715","-75.5684118","200 Delamore Place, Wilmington, DE 19805","2013-06-24","02:08:00","SH","0","1","0","0","A 19-year-old Wilmington man was shot in the lower back when trying to flee from two men demanding he hand over money.

The man, police said, was approached by two men both wearing black hooded sweatshirts and asking for marijuana. After the victim said he didn't have any pot, the men demanded money and shot him when he tried to flee.

The victim arrived at St. Francis Hospital a short time later.","0","1","19-year-old-shot-during-attempted-robbery"
"248","Man shot during home invasion","1","100 North Bancroft Parkway","Wilmington","DE","39.7472141","-75.5750592","100 North Bancroft Parkway, Wilmington, DE 19805","2013-06-24","01:30:00","SH","0","1","0","0","One man was shot in the left arm and another pistol-whipped during a home invasion.

Police, responding to a 911 call reporting a shooting, found a 67-year-old man with facial lacerations and a 49-year-old man with a gunshot wound.

Police said three men, all between 17 and 20 years old, entered the house through a rear basement door and held the 67-year-old victim at gunpoint before pistol-whipping him. The second victim was shot when he tried to resist.

The 67-year-old refused medical treatment, and the 49-year-old was taken to Christiana Hospital where he was listed in stable condition.","0","1","man-shot-during-home-invasion"
"249","Man shot in buttocks","1","200 Delamore Place","Wilmington","DE","39.7453715","-75.5684118","200 Delamore Place, Wilmington, DE 19805","2013-06-26","10:25:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 19-year-old man with a gunshot wound to his buttocks.

Police said an unknown shooter opened fire at the victim after a confrontation. The 19-year-old was taken to Christiana Hospital where he was listed in stable condition.","0","1","man-shot-buttocks"
"250","Two shot on 10th Street","1","700 East 10th Street","Wilmington","DE","39.7424883","-75.5404123","700 East 10th Street, Wilmington, DE 19801","2013-06-29","03:30:00","SH","0","2","0","0","A 22-year-old man was shot in the leg and a 30-year-old man was shot in the buttocks in the 700 block of East 10th Street.

When police, responding to a 911 call reporting multiple shots fired, arrived, 911 dispatchers told them the two victims had arrived at Wilmington Hospital. Neither victim was able to provide suspect information.","0","1","two-shot-10th-street"
"251","Two men shot on 28th Street","1","1300 East 28th Street","Wilmington","DE","39.7501805","-75.5259362","1300 East 28th Street, Wilmington, DE 19802","2013-06-30","00:20:00","SH","0","2","0","0","Police responding to a 911 call reporting shots fired were flagged down in the 2800 block of North East Boulevard by a 22-year-old man with gunshot wounds to his chest and buttocks. The victim was taken to Christiana Hospital by Helicopter.

A second victim with a gunshot wound to his ankle was found in the 1300 block of East 28th Street. He was taken to Christiana Hospital by ambulance.","0","1","two-men-shot-28th-street"
"252","Maryland man shot in ribs","1","2100 North Pine Street","Wilmington","DE","39.749617","-75.536313","2100 North Pine Street, Wilmington, DE 19802","2013-07-06","22:30:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 27-year-old man with a gunshot wound to the right side of his rib cage.

Police said the man was standing in the block when he heard gunshots and realized he had been hit. The victim ran to a family member's house and contacted police. He was taken to Christiana Hospital where he was listed in stable condition.","0","1","maryland-man-shot-ribs"
"253","Two shot on Monroe Street","1","800 North Monroe Street","Wilmington","DE","39.7447912","-75.5577574","800 North Monroe Street, Wilmington, DE 19801","2013-07-07","19:30:00","SH","0","2","0","0","Police responding to a shooting found a 19-year-old man with a gunshot wound to his left shoulder and a 22-year-old woman with a gunshot wound to her foot. Both were taken to Christiana Hospital by ambulance.","0","1","two-shot-monroe-street"
"254","26-year-old shot, killed","1","600 West 4th Street","Wilmington","DE","39.7424811","-75.5564233","600 West 4th Street, Wilmington, DE 19801","2013-07-13","20:30:00","SH","1","1","1","0","A 26-year-old New Castle man was shot in the head and killed.

Officers responding to a 911 call reporting shots fired found Walter Shorts with a gunshot wound to his head. He was taken to Christiana Hospital and was listed in critical condition. On Sunday around 6:30 a.m., police announced that Shorts had died.

A little more than three months later, 20-year-old Keenan Wheeler or the unit block of South Union Street in Wilmington was indicted for first-degree murder in connection with the shooting.","1","0","26-year-old-shot-killed"
"255","5-year-old hit by stray bullet","1","1100 Pleasant Street","Wilmington","DE","39.7427","-75.5632578","1100 Pleasant Street, Wilmington, DE 19805","2013-07-17","20:10:00","SH","0","1","0","0","A 5-year-old girl was suffered a gunshot wound to her leg when she ran outside to fetch her scooter after dinner.

Jazmine Galan Grant was taken to A.I. DuPont Hospital for Children and later transferred to the Children's Hospital of Philadelphia where she was listed in stable condition. Family members told The News Journal that Jazmine had surgery to repair damage to the bone below her left knee, but she will likely need an additional surgery.

Police said Jermain Laster of Penns Grove, N.J. was fighting with another man in the block earlier in the day and later returned with a handgun and began shooting. Detectives learned Laster might be in Penns Grove and contacted the Carneys Point Police Department, who arrested him.","0","0","5-year-old-hit-stray-bullet"
"256","Man shot in buttocks","1","800 Vandever Avenue","Wilmington","DE","39.7480322","-75.5350136","800 Vandever Avenue, Wilmington, DE 19802","2013-07-19","21:15:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 22-year-old man with gunshot wound to his right buttock.

Police said the victim, a convicted drug offender, was standing in the 800 block of Vandever when he heard gunshots and was struck. Police were looking for two potential shooters, a 5'8"" stocky man wearing a brown shirt and khaki shorts and a 6' man with a dark shirt and dark shorts with red stripes.","0","1","man-shot-buttocks"
"257","Man shot multiple times","1","94 E. 24th St.","Wilmington","DE","39.7528714","-75.5365806","94 East 24th Street, Wilmington, DE 19802","2013-07-19","22:18:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 25-year-old man with multiple gunshot wounds to his back and right thigh.

The victim, a convicted drug offender, was standing in the unit block of East 24th Street when another man approached a displayed a handgun, police said. The victim struggled with the man over the handgun before he was shot. The shooter, described as roughly 6' tall and wearing a white shirt, fled.

The victim was taken to Christiana Hospital where he was listed in stable condition.","0","1","man-shot-multiple-times"
"258","22-year-old shot, in critical condition","1","100 E. 24th St.","Wilmington","DE","39.752677","-75.536589","100 East 24th Street, Wilmington, DE 19802","2013-07-20","03:38:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 22-year-old man with multiple gunshot wounds to his abdomen, arm and hand.

Police said the victim, a convicted felon and probationer, was standing in the 100 block of East 24th Street when an unknown man approached and began shooting.

The victim was taken to Christiana Hospital where he was listed in critical condition.","0","1","22-year-old-shot-critical-condition"
"259","23-year-old shot multiple times","1","600 W. 27th St.","Wilmington","DE","39.760187","-75.539252","600 West 27th Street, Wilmington, DE 19802","2013-07-20","21:38:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 23-year-old man with gunshot wounds to his left thigh, right ankle and left cheek. The victim, a convicted felon who was uncooperative with police, was taken to Christiana Hospital where he was listed in serious but stable condition.","0","1","23-year-old-shot-multiple-times"
"260","Man shot after argument","1","300 N. Clayton St.","Wilmington","DE","39.746786","-75.568327","300 North Clayton Street, Wilmington, DE 19805","2013-07-21","12:14:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 30-year-old man with a gunshot wound to his left calf.

The victim got into an argument with the shooter, police said, who displayed a handgun and shot him. The shooter was described as in his 20s, between 5'3"" and 5'5"" tall, roughly 130 to 150 lbs. and wearing a grey tank top and khaki capris.

The victim was taken to Wilmington Hospital where he was treated and released.","0","1","man-shot-after-argument"
"261","Man shot in neck, arm","1","1300 East 23rd Street","Wilmington","DE","39.7471749","-75.5291264","1300 East 23rd Street, Wilmington, DE 19802","2013-07-25","08:26:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting were contacted by Christiana Hospital after a shooting victim came to the ER seeking treatment for gunshot wounds to his neck and left arm.

A 33-year-old man was standing in the 1300 block of East 23rd Street when a shot man between 19 and 20 years old with a thin build and scruffy facial hair began shooting at him. The victim was listed in stable condition.","0","1","man-shot-neck-arm"
"262","Man shot in chin","1","800 West 5th Street","Wilmington","DE","39.7441219","-75.5582464","800 West 5th Street, Wilmington, DE 19801","2013-07-30","23:18:00","SH","0","1","0","0","A Wilmington man was shot in the chin and drove himself to Wilmington Hospital.

Police responding to a 911 call reporting a shooting found evidence of a shooting but no victim. They were then contacted by Wilmington Hospital and told that the victim had driven himself to the hospital.

Police said the 38-year-old man was sitting in a parked car when two men between 5'5"" and 5'6"" and wearing all dark clothing approached and began shooting.

The man was listed in stable condition.","0","1","man-shot-chin"
"263","Man shot in lower back","1","700 North Monroe Street","Wilmington","DE","39.745797","-75.55663","700 North Monroe Street, Wilmington, DE 19801","2013-08-02","14:15:00","SH","0","1","0","0","An officer working an extra-duty assignment heard gunfire in the west center city area and alerted other officers who responded to the 700 block of North Monroe Street and several surrounding blocks.

Later, a gunshot victim arrived at Wilmington Hospital with a gunshot wound to his lower back. He was listed in stable condition.","0","1","man-shot-lower-back"
"264","Man shot in thigh","1","1300 East 24th Street","Wilmington","DE","39.7477721","-75.5284783","1300 East 24th Street, Wilmington, DE 19802","2013-08-02","17:07:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 25-year-old man with a gunshot wound to his left thigh.

Police said the man was shot at an undetermined location and then walked to a residence in the 1300 block of East 24th Street. He was taken to Christiana Hospital where he was listed in stable condition.","0","1","man-shot-thigh"
"265","Man shot multiple times","1","500 West 7th Street","Wilmington","DE","39.744279","-75.554326","500 West 7th Street, Wilmington, DE 19801","2013-08-03","19:17:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 21-year-old man with multiple gunshot wounds to his torso. He was taken to Christiana Hospital where he was listed in critical condition.","0","1","man-shot-multiple-times"
"266","19-year-old shot, killed","1","700 West 5th Street","Wilmington","DE","39.7436626","-75.5569989","700 West 5th Street, Wilmington, DE 19801","2013-08-04","18:58:00","SH","1","1","1","0","Police responding to multiple 911 calls reporting a shooting found 19-year-old Jermaine Goins, Jr. lying on the south end of the Hicks Anderson Community Center parking lot with a gunshot wound to his head.

Officers gave Goins first aid and CPR, but he was pronounced dead when paramedics arrived.

No suspect information was available.","0","1","19-year-old-shot-killed"
"267","36-year-old shot in buttocks","1","600 Taylor Street","Wilmington","DE","39.7413393","-75.5425623","600 Taylor Street, Wilmington, DE 19801","2013-08-06","01:08:00","SH","0","1","0","0","A 36-year-old Wilmington man suffered a gunshot wound to his buttocks while walking in the 600 block of Taylor Street.

Officers responding to a 911 call found evidence of a shooting but no victim. They were then contacted by St. Francis Hospital, which said the victim had arrived in the emergency room seeking treatment.

Police said the victim heard gunfire and was struck. He fled to a his residence and was driven to the hospital where he remained in stable condition. No suspect information was available.","0","1","36-year-old-shot-buttocks"
"268","Four injured in shooting","1","1200 West 2nd Street","Wilmington","DE","39.74352","-75.564121","1200 West 2nd Street, Wilmington, DE 19805","2013-08-11","21:49:00","SH","0","4","0","0","Four people suffered gunshot wounds after an unknown person opened fire in the 1200 block of West 2nd Street.

Police responding to a 911 call reporting shots fired found a 20-year-old woman in the street with a gunshot wound to her ""lower extremity."" The officers were then called into a residence where they found a 16-year-old girl and a 17-year-old girl with gunshot wounds to their midsections and a 20-year-old man with a gunshot wound to his lower extremity. All of the victims were taken to Christiana Hospital where they were listed in stable condition. ","0","1","four-injured-shooting"
"269","31-year-old shot","0","7th and North Washington Streets","Wilmington","DE","39.7442752","-75.5537367","North Washington Street & West 7th Street, Wilmington, DE 19801","2013-08-16","12:40:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 31-year-old man with a gunshot wound.

The man was taken to Christiana Hospital and his condition was not known to police.","0","1","31-year-old-shot"
"270","22-year-old shot","1","Spruce Street","Wilmington","DE","39.7410095","-75.5414647","North Spruce Street, Wilmington, DE 19801","2013-01-03","19:37:00","SH","0","1","0","0","Police were called to Wilmington Hospital's Emergency Room in reference to a gunshot victim.

Police said the victim was lost, standing by his vehicle near North Spruce Street when a man approached and asked for a dollar. When the victim refused, the man displayed a handgun and shot the victim in the lower part of his body and stole an undisclosed amount of cash.","0","1","22-year-old-shot"
"271","21-year-old shot","1","700 West 4th Street","Wilmington","DE","39.742885","-75.558365","700 West 4th Street, Wilmington, DE 19801","2013-01-31","12:02:00","SH","0","1","0","0","Police responding to a shooting found a 21-year-old man with a gunshot wound to his lower extremity.

The man was taken to Christiana Hospital where his condition was not known at the time.","0","1","21-year-old-shot"
"272","2 shot in Judy Johnson Park","1","Third and Clayton streets","Wilmington","DE","39.7466629","-75.568529","West 3rd Street & North Clayton Street, Wilmington, DE 19805","2013-05-04",NULL,"SH","0","2","0","1","Two men were hospitalized, one in critical condition, after a shooting in Judy Johnson Park at Third and
Clayton streets.

The men were sitting on a park bench shortly before 2:30 p.m. when the shooter approached and fired, police said.","0","1","2-shot-judy-johnson-park"
"273","Man shot in leg","1","East 16th and North Thatcher streets","Wilmington","DE","39.7455605","-75.5336207","Thatcher Street & 16th Street, Wilmington, DE 19802","2013-05-03","00:20:00","SH","0","1","0","0","A man was shot in the leg early Friday on the city's East Side during a robbery attempt. When police arrived, they found the victim with a gunshot wound to his lower right leg.

The victim told police he was confronted by a stranger demanding his property. When the victim said he had nothing for him, the man shot him and ran off.","0","1","man-shot-leg"
"274","Man shot twice during attempted robbery","1","200 N. Madison St.","Wilmington","DE","39.741296","-75.558324","200 North Madison Street, Wilmington, DE 19801","2013-08-18","22:20:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 42-year-old man with gunshot wounds to his left leg and right foot.

The victim was walking in the 200 block of North Madison Street when two men in their late teens - one wearing a gray hooded sweatshirt and the other a black T-shirt - approached him, displayed a handgun and demanded money. When the victim refused, one of the men opened fire.

The victim was taken to Christiana Hospital where he was listed in stable condition.","0","1","man-shot-twice-during-attempted-robbery"
"275","Man robbed, shot in thigh","1","500 Concord Avenue","Wilmington","DE","39.7580675","-75.5420741","500 Concord Avenue, Wilmington, DE 19802","2013-08-23","02:43:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 32-year-old man sitting on the steps of a home with a gunshot wound to his left thigh.

Police said the victim was sitting on the steps when three men between 20 and 25 years old approached, pulled out a handgun and ordered him to the ground. The three men took the victims wallet and then shot him in the thigh.","0","1","man-robbed-shot-thigh"
"276","45-year-old shot on North Washington","1","200 West 25th Street","Wilmington","DE","39.7559021","-75.5382412","200 West 25th Street, Wilmington, DE 19802","2013-08-29","23:30:00","SH","0","1","0","0","Police responding to a 911 call reporting a shots fired found a 45-year-old man with a gunshot wound to the left side of his body.

Police said the man was walking in the 200 block of West 25th Street when an unknown person began shooting. The victim ran to the 2500 block of North Washington Street and realized he had been shot. He was taken to Christiana Hospital where he was listed in serious but stable condition.","0","1","45-year-old-shot-north-washington"
"277","Two women shot","1","800 Vandever Avenue","Wilmington","DE","39.748177","-75.534935","800 Vandever Ave, Wilmington, DE 19802","2013-09-03","17:10:00","SH","0","2","0","0","Police responding to the 800 block of Vandever Avenue in reference to a shooting where called away to Wilmington Hospital after two women arrived seeking treatment.

One of the women suffered a gunshot wound to her back and was transferred to Christiana Hospital, and the other woman suffered a graze wound to her left leg. Both were listed in good condition.

Police said the women were sitting inside their vehicle on Vandever when an unknown person began shooting. The victims were unable to provide any suspect information.","0","1","two-women-shot"
"279","Man shot in arm","1","1700 Thatcher Street","Wilmington","DE","39.7465158","-75.5329443","1700 Thatcher Street, Wilmington, DE 19802","2013-09-11","15:20:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting were sent to Wilmington Hospital after a 30-year-old man arrived there seeking treatment for a gunshot wound to his left arm.

The man walking in the 1700 block of Thatcher Street when a man wearing a gray hooded sweatshirt came out of an alleyway and began shooting, police said. The victim fled to a family member's house and was taken to the hospital where he was listed in stable condition.","0","1","man-shot-arm"
"280","17-year-old shot, killed","1","2800 North Tatnall Street","Wilmington","DE","39.7561862","-75.5342474","2800 North Tatnall Street, Wilmington, DE 19802","2013-09-13","21:39:00","SH","1","1","1","0","Police responding to a 911 call reporting a shooting found 17-year-old Shyheim Buford on the west side of the 2800 block of North Tatnall Street with gunshot wounds to his chest.

Officers tried first aid and CPR, but Buford was taken to Christiana Hospital where he was pronounced dead.","0","1","17-year-old-shot-killed"
"281","Two wounded in mid-afternoon shooting","1","0 West 25th Street","Wilmington","DE","39.7540535","-75.5368512","0 West 25th Street, Wilmington, DE 19802","2013-09-14","15:15:00","SH","0","2","0","0","Police responding to a 911 call reporting a shooting found an 18-year-old man with gunshot wounds to his chest and right arm and a 22-year-old man with gunshot wounds to his left arm and thigh.

Both victims were taken to Christiana Hospital and listed in stable condition.","0","1","two-wounded-mid-afternoon-shooting"
"282","Man shot in both legs","1","0 North Van Buren Street","Wilmington","DE","39.7564009","-75.5493413","North Van Buren Street, Wilmington, DE","2013-09-15","14:40:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found an 18-year-old man in the street with gunshot wounds to both legs.

Police said the victim was walking in the area when he heard gunfire and realized he had been shot. He was taken to Christiana Hospital where he was listed in stable condition.","0","1","man-shot-both-legs"
"283","16-year-old shot in pelvic region","1","400 North Madison Street","Wilmington","DE","39.7429357","-75.5574594","400 North Madison Street, Wilmington, DE 19801","2013-09-15","15:53:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 16-year-old boy with a gunshot wound to his pelvic region.

Police said the boy was exiting a corner store at West 5th and North Madison streets when he heard gunfire and realized he had been shot.

He was taken to Christiana Hospital where he was listed in stable condition.","0","1","16-year-old-shot-pelvic-region"
"284","Two shot on Maple Street","1","1100 Maple Street","Wilmington","DE","39.73926","-75.566111","1100 Maple Street, Wilmington, DE 19805","2013-09-15","21:59:00","SH","0","2","0","0","Police responding to a 911 call reporting a shooting found evidence of a shooting but no victims.

A 911 caller, though, reported an 18-year-old victim with a gunshot wound to the mid-torso area not far from the scene. He was taken to Christiana Hospital where he was listed in stable condition.

Later, Wilmington Hospital contacted police and reported a 24-year-old man with a gunshot wound to his upper back had arrived seeking treatment. He was transferred to Christiana Hospital where he was listed in stable condition.

Both victims were uncooperative with police.","0","1","two-shot-maple-street"
"285","47-year-old shot, killed","1","1800 North West Street","Wilmington","DE","39.7528838","-75.5449782","1800 North West Street, Wilmington, DE 19802","2013-09-23","23:07:00","SH","1","1","1","0","Police responding to a 911 call reporting a shooting found 47-year-old Willie Moore lying on the sidewalk with ""apparent gunshot wounds.""

An ambulance took the man to Christiana Hospital where he was listed in critical condition.

Two days later, police announced in a news release that the Wilmington man had died at Christiana Hospital in Newark from a gunshot wound to the head.","0","1","man-shot-critical-condition"
"286","Teen and young girl shot","0","West 2nd and North Franklin streets","Wilmington","DE","39.7439798","-75.5652259","West 2nd Street & North Franklin Street, Wilmington, DE 19805","2013-09-25","19:40:00","SH","0","2","0","0","Police responding to a 911 call reporting a shooting found a 12-year-old girl and a 17-year-old boy suffering gunshot wounds.

Officers found the girl in her home in the 100 block of Franklin Street with a gunshot wound to her buttocks. The boy, who was shot in the shoulder, was inside a nearby residence in the 1200 block of West 2nd Street.

Police said the gunfire came from the area of Pleasant and North Franklin streets and the victims, who are not related, were in the area of West 2nd and North Franklin streets. It was not known whether the victims were the intended targets.

Both victims were taken to Nemours/Alfred I. duPont Hospital for Children and were listed in stable condition.","0","1","teen-and-young-girl-shot"
"287","Teen shot in leg, robbed","1","600 North Van Buren Street","Wilmington","DE","39.74621","-75.56057","600 North Van Buren Street, Wilmington, DE 19805","2013-09-20","22:00:00","SH","0","1","0","0","A 12-year-old Wilmington boy robbed and shot a 17-year-old boy.

The victim was walking in the 600 block of North Van Buren Street, police said, when the 12-year-old approached him and demanded he hand over his cell phone. After a struggle, the young boy shot the teenager, took the cell phone and fled.

A few days later on Sept. 25, police announced they arrested and charged the 12-year-old with first-degree robbery, first-degree assault and possession of a firearm during the commission of a felony. The boy, who was also on probation for robbery, was arraigned at JP Court 20 and held at the New Castle County Detention Center in lieu of $150,000 cash bail.

","1","0","teen-shot-leg-robbed"
"288","17-year-old girl shot in thigh","1","1400 West 3rd Street","Wilmington","DE","39.74572","-75.566764","1400 West 3rd Street, Wilmington, DE 19805","2013-09-29","20:22:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting were redirected to St. Francis Hospital when a 17-year-old girl arrived there seeking treatment for a gunshot wound to her left thigh.

Police said the girl was walking in the 1400 block of West 3rd Street when she saw a group of people running in her direction. Someone opened fire and shot the girl.

The victim was transferred to Christiana Hospital by ambulance.","0","1","17-year-old-girl-shot-thigh"
"289","Man shot in back","1","West 24th and North West Streets","Wilmington","DE","39.755497","-75.5391513","North West Street & West 24th Street, Wilmington, DE 19802","2013-09-30","23:42:00","SH","0","1","0","0","Police responding to a 911 call reporting a shooting found a 25-year-old man in the street with a gunshot wound to his lower back.

Police said the victim was walking in the 300 block of West 24th Street when a group of four to five people approached and tried to rob him. One of the robbers pulled out a handgun and shot the man. The suspects were described as men between the ages of 17 and 25 and wearing all dark clothing.

The victim was taken to Wilmington Hospital where he was listed in serious but stable condition.","0","1","man-shot-back"
"290","Man shot multiple times","1","30th and Madison streets","Wilmington","DE","39.7607462","-75.5352626","North Madison Street & West 30th Street, Wilmington, DE 19802","2013-10-02","11:22:00","SH","0","1","0","1","A half-dozen shell casings littered the intersection at 30th and Madison streets in Wilmington after a shooting sent one person to a hospital.

According to reports from the scene, the male victim was taken to the hospital by private vehicle before police arrived with multiple wounds to the upper torso.
","0","1","man-shot-multiple-times"
"291","Man shot on North Tatnall","1","600 North Tatnall Street","Wilmington","DE","39.742826","-75.552514","600 North Tatnall Street, Wilmington, DE 19801","2013-10-06","03:55:00","SH","0","1","0","0","Officers responded to reports of gunfire about 3:55 a.m. Sunday to the 600 block N. Tatnall St. and were told by dispatchers that the 23-year-old victim arrived at Wilmington Hospital in a personal vehicle to seek treatment for a gunshot wound to his ""upper extremity.""

He was transported by ambulance to Christiana Hospital, police said.","0","1","man-shot-north-tatnall"
